Designator,Mid X,Mid Y,Rotation,Layer
C1,206.1,-134.18,270.0,top
C10,170.0,-116.8,90.0,top
C11,171.3,-116.8,90.0,top
C12,203.0,-142.1,180.0,top
C13,169.62,-121.5,0.0,top
C17,165.8,-146.0,270.0,top
C18,160.3,-145.88,90.0,top
C19,165.8,-142.88,270.0,top
C2,205.3,-137.4,90.0,top
C20,160.3,-143.0,270.0,top
C21,165.72,-155.6,0.0,top
C22,192.1,-142.3,180.0,top
C23,176.4,-145.2,180.0,top
C24,176.4,-143.8,180.0,top
C25,182.241382,-145.441382,0.0,top
C26,181.9525,-142.699976,0.0,top
C27,192.4,-151.6,0.0,top
C28,202.8,-146.6,270.0,top
C29,204.1,-148.6,270.0,top
C3,206.6,-137.4,90.0,top
C30,203.3,-150.7,180.0,top
C31,181.9525,-143.999976,0.0,top
C32,169.699963,-158.6,90.0,top
C33,160.5,-156.9,270.0,top
C34,202.1,-144.0,180.0,top
C35,203.6,-152.6,180.0,top
C4,163.9,-160.5,0.0,top
C5,163.1,-156.9,270.0,top
C6,161.8,-156.9,270.0,top
C7,202.423259,-138.210791,270.0,top
C8,168.4,-158.6,90.0,top
C9,203.8,-140.0,270.0,top
D2,177.6,-158.8,270.0,top
F1,205.1,-160.05,0.0,top
J1,197.1,-158.75,0.0,top
J10,168.8,-137.7,0.0,top
J11,200.85,-117.2,180.0,top
J2,196.05,-122.9,270.0,top
J3,205.4,-126.35,90.0,top
J4,160.7,-125.59,0.0,top
J5,197.83,-143.7,180.0,top
J6,197.4,-133.5,180.0,top
J7,197.2,-153.7,0.0,top
J8,181.85,-149.45,0.0,top
J9,162.0,-137.7,0.0,top
L1,165.6,-151.4,0.0,top
Q1,164.76,-120.4,180.0,top
Q2,167.1,-124.16,270.0,top
Q3,205.3,-156.9,180.0,top
Q4,175.0,-159.4,90.0,top
R1,178.040182,-141.015114,0.0,top
R10,168.85,-140.35,0.0,top
R11,200.58,-123.4,180.0,top
R12,168.7,-118.4,270.0,top
R13,192.2,-139.6,90.0,top
R14,189.6,-140.3,90.0,top
R15,190.9,-140.3,90.0,top
R16,192.7,-135.4,0.0,top
R17,194.4,-143.6,90.0,top
R18,192.15,-117.85,270.0,top
R19,192.3,-149.1,180.0,top
R2,179.5525,-144.35,90.0,top
R20,192.3,-150.3,180.0,top
R21,189.0,-145.7,0.0,top
R22,172.2,-160.0,90.0,top
R23,200.58,-124.75,180.0,top
R24,173.45,-137.25,0.0,top
R3,173.45,-135.9,0.0,top
R4,177.707754,-160.900288,0.0,top
R5,163.9,-161.4,0.0,top
R6,163.9,-159.6,180.0,top
R7,164.7,-126.2,270.0,top
R8,166.0,-127.5,90.0,top
R9,162.297082,-140.387113,0.0,top
SW4,163.15,-132.15,90.0,top
U12,163.0375,-146.3,0.0,top
U13,163.0375,-142.8,0.0,top
U14,165.7,-157.7,90.0,top
U3,203.255,-134.1,90.0,top
U4,197.6,-139.6,180.0,top
U5,197.6,-147.8725,180.0,top
U9,181.85,-121.36,0.0,top
